Female,Condition,Similarity,lik1,lik2,lik3,lik4,pa1,pa2,na1,na2,mat,mat2,aff1,aff2,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12,appearance1,appearance2,appearance3,mv1,mv2,mv3,mv4,mv5,mv6,age,id
0,1,1,3,2,3,3,3,3,5,5,5,6,"
1",6,4,5,4,5,4,4,5,3,5,4,5,5,5,6,5,5,6,5,4,5,3,46,95
1,0,1,7,7,7,7,7,7,1,1,"
1","
1","
1",3,5,5,4,6,3," 
1"," 
1"," 
1",5,5,3,6,5,5,5,5,5,5,3,5,5,48,96
1,1,1,1,1,1,1,1,1,1,1,7,7,"
1",7,6,5,5,6,3,3,5," 
1",4," 
1"," 
1",6,6,6,6,6,6,6,4,6,6,42,97
0,0,1,7,7,7,7,7,7,1,1,"
1","
1",7,7,"
1"," 
1",2," 
1"," 
1"," 
1",2," 
1",4,5,5,3,5,6,6,6,6,6,6,6,5,55,98
1,1,1,1,1,1,1,1,1,3,3,"
1",7,"
1","
1","
1",3,3,5," 
1"," 
1",3," 
1",3,3,2,3,3,1,1,2,2,2," 
1",2,2,39,99
1,0,1,6,6,5,5,5,4,2,2,4,4,5,5,"
1",2," 
1",2,2,2," 
1"," 
1",2," 
1"," 
1",2,1,1,1," 
1"," 
1"," 
1"," 
1"," 
1"," 
1",47,100
1,0,1,6,6,5,7,6,6,2,2,4,3,3,5,2,2,2,3,3,2," 
1",3," 
1"," 
1"," 
1"," 
1",5,5,6,6,5,4,5,4,4,24,101
1,1,1,3,3,3,3,3,3,5,5,3,3,3,3,3,3,3,4,3,3,2,2,2,3,2,2,4,4,4,4,3,3,2,3,2,26,102
1,0,1,6,7,5,7,7,6,2,6,6,7,5,6,6,4,7,4,6,7,4,6,5,7,6,7,5,7,4,6,5,7,7,4,6,51,103
1,0,1,5,5,6,6,6,6,1,1,1,1,6,6,2,4,3,5,2,2,2,2,2,2,2,2,4,3,3,5,5,4," 
1",5," 
1",62,104
1,1,1,4,7,4,4,4,4,6,6,1,1,"
1",4,3,5,6,6," 
1"," 
1",5," 
1",7,7,7,5,4,1,3,4,4,4,4,4,4,35,105
1,1,1,4,4,4,4,4,4,2,2,5,5,"
1","
1",2,3,2,6,3,2,2,3,3,6,4,3,6,6,6,6,6,6,5,6,5,38,106
